ts,o,h,l,c,v
2026-07-30T02:00:00Z,4079.021,4101.1,4039.8,4058.414,0.042676
2026-07-30T03:00:00Z,4059.8375,4079.3,4038.088,4050.5,0.009837
2026-07-30T04:00:00Z,4052.945,4072.4,4018.0,4041.65,0.014636
2026-07-30T05:00:00Z,4040.977,4070.75,4014.2,4031.2,0.068000652
2026-07-30T06:00:00Z,4033.565,4058.2,4008.459,4031.602,0.042976992
2026-07-30T07:00:00Z,4033.78,4068.6,4012.587,4034.75,0.033534435
2026-07-30T08:00:00Z,4033.559,4087.1,4027.577,4055.92,0.02884865
2026-07-30T09:00:00Z,4057.915,4085.28,4035.821681818,4057.0,0.043123504
2026-07-30T10:00:00Z,4058.931,4098.381,4040.01,4072.409,0.019667
2026-07-30T11:00:00Z,4075.08,4099.56,4047.072,4071.25,0.053081
2026-07-30T12:00:00Z,4068.306,4097.876,4048.64,4069.355,0.014681491
2026-07-30T13:00:00Z,4068.564,4101.39,4043.55,4101.39,0.021391074
2026-07-30T14:00:00Z,4102.2085,4122.406,4063.88,4090.585,0.055462
2026-07-30T15:00:00Z,4115.16,4123.178,4060.362,4099.375,0.094293644
2026-07-30T16:00:00Z,4100.44,4122.474,4098.187,4098.373,0.001188
2026-07-30T17:00:00Z,4122.464,4122.464,4074.351,4095.825,0.016107
2026-07-30T18:00:00Z,4097.238,4121.819,4069.952,4092.8,0.036294
2026-07-30T19:00:00Z,4095.1145,4106.25,4077.28,4102.5375,0.001296
2026-07-30T20:00:00Z,4101.355,4128.2,4072.7,4094.41,0.034691
2026-07-30T21:00:00Z,4096.0695,4121.3,4071.839,4098.4575,0.007211
2026-07-30T22:00:00Z,4095.8415,4124.5,4074.232,4101.5865,0.014967
